feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
RCO,abs_b_p,0.05755127157695254,0.16523163968428314,-0.3786444978578714,0.2518589878286902,8,0.14395183360700603,0.5552023269068926,1
RCO,a_p,0.09937980210979833,0.09432566390825955,-0.012802228371356646,0.3446160608070129,9,0.24455391351943073,0.6473340061890183,0
RCO,ddg_pcc,0.08804426376202265,0.04538790417605145,0.017779002751553134,0.14721684519784559,10,-0.00870279146141215,0.6632075770939845,0
RCO,a_dg,0.09937980249674261,0.09432566354672217,-0.012802228519993929,0.34461605953674174,9,0.24455391351943073,0.6473340043235896,0
LRO,b_p,0.3220354548843145,0.11847330149125612,0.18051600431385018,0.5140663745288468,10,0.27923908842310696,0.15461274611154885,4
LRO,abs_b_p,0.13980713705109088,0.19612698486346408,-0.4001438942513933,0.3051187483445113,9,0.2472423726451603,0.31652102411029825,1
LRO,a_p,0.004446007723868822,0.0787862914444209,-0.0971621058361459,0.18873509896335539,3,0.004762556497316271,0.7720612042806453,0
LRO,ddg_pcc,-0.034870134982245275,0.05344011639783079,-0.11822093040007041,0.08730928685064614,9,-0.20684275546102918,0.7949710385700772,0
LRO,a_dg,0.004446009532680135,0.07878629131698825,-0.0971621033338168,0.18873509996536045,3,0.004762556497316271,0.7720612079570142,0
frac_longrange,b_p,0.31450627639283807,0.11602805730498308,0.18190389033658633,0.5125967387226952,10,0.28482277535099504,0.16209829032821368,4
frac_longrange,abs_b_p,0.12346364086517632,0.1919402985466688,-0.40201878868838914,0.2960699082656315,9,0.20922403370968728,0.35781822462162666,1
frac_longrange,a_p,0.058809664796959225,0.07389145742434775,-0.03624166637588886,0.23309240238027173,8,0.10001368644364175,0.750776468102776,0
frac_longrange,ddg_pcc,-0.01640330099641646,0.05200960178018263,-0.10407281970922262,0.09444181259161438,6,-0.17821267444842673,0.84633384057276,0
frac_longrange,a_dg,0.058809665898260255,0.07389145735520661,-0.03624166488061839,0.23309240293228245,8,0.10001368644364175,0.750776465060367,0
CO_heavy_abs,b_p,0.19373967908706125,0.14779736875570726,0.038854239791106415,0.4310852879278141,10,0.2695675971538041,0.4431301264104627,2
CO_heavy_abs,abs_b_p,0.12263834113326069,0.17196061653934933,-0.35694620915804354,0.27357670639278553,9,0.17071702244116035,0.363089165475165,0
CO_heavy_abs,a_p,-0.05662228893717475,0.08514774942456106,-0.15509297803481326,0.1362574892715775,7,0.08713738368910781,0.6456410593062353,0
CO_heavy_abs,ddg_pcc,-0.09109557947792206,0.05562108915468596,-0.17074578251929634,0.039242345212157706,9,-0.2905309250136836,0.6235378821154073,0
CO_heavy_abs,a_dg,-0.0566222894549811,0.08514774949030415,-0.1550929787788934,0.13625748852474714,7,0.08713738368910781,0.6456410592081527,0
RCO_heavy,b_p,0.4062766083430637,0.08766081927068888,0.2978413070005079,0.5558049349039175,10,0.39896004378763,0.05122496222521104,4
RCO_heavy,abs_b_p,0.0009368102209550564,0.17297200072679153,-0.4512117323242478,0.19987708850825392,6,0.10541871921182266,0.6290804568209433,1
RCO_heavy,a_p,0.09470387268990571,0.10072717009602006,-0.022585874297487103,0.3519289201383277,8,0.17427476737821565,0.655488440033322,0
RCO_heavy,ddg_pcc,0.07791162579378383,0.05702126820508308,-0.002966991922817165,0.17147329775505313,7,-0.15539135194307607,0.6985783262527456,0
RCO_heavy,a_dg,0.09470387298490744,0.10072716994337252,-0.022585874462306078,0.35192891926662284,8,0.17427476737821565,0.6554884383487841,0
heavy_contact_density,b_p,-0.2293825612955982,0.1010699871382749,-0.3309204935441122,-0.04255370993847422,10,-0.2305418719211823,0.29883731245318423,0
heavy_contact_density,abs_b_p,0.24787269910535187,0.07705016963887386,0.10632955744352063,0.3534227998358275,10,0.19917898193760264,0.23784349774892263,0
heavy_contact_density,a_p,-0.5641934579205572,0.06969051042942229,-0.6375793794455787,-0.4406509775270181,10,-0.5214012041598248,0.004598223473720294,10
heavy_contact_density,ddg_pcc,-0.3200125862415856,0.0460868060327037,-0.3677887467701465,-0.20861866854808966,10,-0.3520525451559934,0.10769424159773491,0
heavy_contact_density,a_dg,-0.5641934576604308,0.06969050975972545,-0.6375793803367424,-0.4406509795497954,10,-0.5214012041598248,0.004598223416057159,10
SASA_total,b_p,0.05139997694715056,0.17037053002256022,-0.1213141695238814,0.33953351639572454,4,0.009578544061302683,0.5745184367264868,0
SASA_total,abs_b_p,0.17102519320711962,0.18133801238421396,-0.26703729900412093,0.3312972367805939,9,0.13563218390804596,0.315377616896866,0
SASA_total,a_p,0.045609779818577945,0.0718716779475513,-0.05877751738186315,0.17871227287029703,6,0.016529830322933765,0.762457527477163,0
SASA_total,ddg_pcc,-0.07553688777878581,0.03814134870949239,-0.1434834544109431,-0.007545448372184458,10,-0.2653530377668309,0.7071706579382355,0
SASA_total,a_dg,0.045609777365204156,0.07187167790488173,-0.058777520728192985,0.17871227012310387,6,0.016529830322933765,0.7624575274364768,0
SASA_per_res,b_p,0.2681462743585846,0.13302814871597,0.03283443519475211,0.41708672121310614,10,0.22304324028461955,0.2642789807314066,3
SASA_per_res,abs_b_p,-0.27379627852312144,0.08151079842483076,-0.40589663291027944,-0.1400376953925861,10,-0.2582375478927203,0.1944931453471212,2
SASA_per_res,a_p,0.4249470361018853,0.04883629652488168,0.32267295440598565,0.4857555258093568,10,0.4153256704980842,0.030272314712360034,8
SASA_per_res,ddg_pcc,0.38087175683099517,0.04583611277113449,0.2582880911006029,0.4222960655371046,10,0.40711548987411056,0.05377407567258021,7
SASA_per_res,a_dg,0.4249470357984575,0.04883629648526826,0.3226729539304212,0.48575552430901536,10,0.4153256704980842,0.030272314843651504,8
SASA_over_N23,b_p,0.3325368530028252,0.06506795926249555,0.24488569742453886,0.43284255682125905,10,0.36009852216748767,0.10235868683628487,4
SASA_over_N23,abs_b_p,-0.2054677060505438,0.10355304279018723,-0.3261668102369984,-0.004100971997987493,10,-0.15030103995621236,0.3544459078488252,0
SASA_over_N23,a_p,0.49259911374200416,0.035007377961421754,0.4479801107315019,0.5531291879921918,10,0.5369458128078819,0.009056287106031336,10
SASA_over_N23,ddg_pcc,0.3813297961455155,0.03946081979121699,0.2850960036675282,0.4357761780114552,10,0.3206349206349206,0.050919467817568884,7
SASA_over_N23,a_dg,0.4925991120220208,0.035007377894824505,0.4479801091717303,0.5531291853744331,10,0.5369458128078819,0.009056287376889103,10
RSA_mean,b_p,0.18811827483181753,0.11863413000930097,-0.01141373030415261,0.32891149546964116,9,0.18018609742747674,0.4044403758228682,0
RSA_mean,abs_b_p,-0.2545643044927997,0.09193443386182294,-0.3813570015270566,-0.04458632685536486,10,-0.23240284619594961,0.2378882951735223,1
RSA_mean,a_p,0.41211915262095156,0.061639981116634435,0.29782536119824116,0.49673837136155174,10,0.41105637657361793,0.040225585526845097,8
RSA_mean,ddg_pcc,0.3687394425972685,0.06007577004783594,0.20744196616811048,0.43193930075548925,10,0.40596606458675427,0.06906905638520523,6
RSA_mean,a_dg,0.41211915267120725,0.061639981091947925,0.29782536105740937,0.4967383704524744,10,0.41105637657361793,0.04022558551428452,8
frac_buried_rsa20,b_p,-0.20369165502803055,0.12305411243506109,-0.3517206313014962,0.013847884602427155,9,-0.1172074020809977,0.3700135565787085,0
frac_buried_rsa20,abs_b_p,0.19823694396323263,0.08981237372475753,0.03484320850308186,0.3437042750413747,10,0.13475702710644025,0.3579313185357117,0
frac_buried_rsa20,a_p,-0.22626529324586603,0.04303415618478499,-0.2875521504767498,-0.13303978149244014,10,-0.1788911855167575,0.2581291738323881,0
frac_buried_rsa20,ddg_pcc,-0.29844656738328285,0.05107354205168415,-0.3367093705552169,-0.18129724804058933,10,-0.34606436867643325,0.13734346657819269,0
frac_buried_rsa20,a_dg,-0.22626529493964812,0.043034155984398866,-0.28755215282752133,-0.13303978264930733,10,-0.1788911855167575,0.2581291700869023,0
frac_buried_rsa05,b_p,-0.2213442544376812,0.08979633055868182,-0.3282442512586469,-0.04992089326095637,10,-0.17639974109036863,0.3046165315817708,0
frac_buried_rsa05,abs_b_p,0.1703656890772694,0.07125398015224087,0.05357688392482141,0.2892742955229586,10,0.1295551101722217,0.4148373945494999,0
frac_buried_rsa05,a_p,-0.3053141025526735,0.03765564404484168,-0.39196273814882,-0.2412735899242744,10,-0.3339356886666501,0.12095596320450908,1
