feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
RCO_heavy,abs_b_p,0.0009368102209550564,6,-0.08528219551672388,6,-0.09185864417071159,-0.08361039863952745,-0.08361039863952745,0.21982463330349464
RCO_heavy,ddg_pcc,0.07791162579378383,7,0.002115881945668234,7,0.18697623681211314,-0.09317036032989977,-0.09317036032989977,0.14599511741334084
heavy_contact_density,a_p,-0.5641934579205572,10,-0.6494730824167974,10,-0.556180265614244,-0.5070339342289079,-0.6538384211534604,-0.5070339342289079
heavy_contact_density,b_p,-0.2293825612955982,10,-0.22243170606836085,8,-0.1884560789749538,-0.12963107004760374,-0.3252980279818637,-0.12963107004760374
heavy_contact_density,abs_b_p,0.24787269910535187,10,0.3057861693123102,10,0.12232145632672291,0.1335673492849082,0.1335673492849082,0.31897654128612984
heavy_contact_density,ddg_pcc,-0.3200125862415856,10,-0.5095320190867489,10,-0.20088347246071572,-0.23079150216437708,-0.4163447076725551,-0.23079150216437708
SASA_total,a_p,0.045609779818577945,6,-0.43985685374361416,10,0.42598183738338,-0.07445552737471858,-0.07445552737471858,0.1699077733680219
SASA_total,b_p,0.05139997694715056,4,-0.1872840796313368,7,0.31340412144274027,-0.029267060594510064,-0.029267060594510064,0.16629165538332727
SASA_total,abs_b_p,0.17102519320711962,9,0.23655083642268032,9,-0.08773110760234784,0.09604422511331537,0.09604422511331537,0.25123711914715574
SASA_total,ddg_pcc,-0.07553688777878581,10,-0.3118502027757586,10,0.3048217570475894,0.029088990894423638,-0.28349538269209074,0.029088990894423638
SASA_per_res,a_p,0.4249470361018853,10,0.5895539197619997,10,0.47207407682570945,0.3696128827134587,0.3696128827134587,0.49878057666226716
SASA_per_res,b_p,0.2681462743585846,10,0.22750073956156847,10,0.29497577368357536,0.19956163369771313,0.19956163369771313,0.35881911025524416
SASA_per_res,abs_b_p,-0.27379627852312144,10,-0.3369466035106713,10,-0.10335707685040148,-0.1948238016140077,-0.3581834980908011,-0.1948238016140077
SASA_per_res,ddg_pcc,0.38087175683099517,10,0.5276455832437215,10,0.28400603103702926,0.31789195065313036,0.31789195065313036,0.48973332838453576
SASA_over_N23,a_p,0.49259911374200416,10,0.48748523883213285,10,0.45478722652077286,0.45331909996729075,0.45331909996729075,0.5467113862032935
SASA_over_N23,b_p,0.3325368530028252,10,0.18940267963736568,10,0.3108184461842281,0.27009868769792106,0.27009868769792106,0.4323913306381392
