file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,3DKM,1238,0.05,bot,61,29,0.47540983606557374,0.049273021001615507,9.648481590970169
abl_anchor_w0.3_s42_e14,3DKM,1238,0.1,top,123,38,0.3089430894308943,0.09935379644588045,3.1095247537841235
abl_anchor_w0.3_s42_e14,3DKM,1238,0.1,bot,123,53,0.43089430894308944,0.09935379644588045,4.3369687355410145
abl_anchor_w0.3_s42_e14,3DKM,1238,0.15,top,185,69,0.372972972972973,0.1494345718901454,2.4958948137326518
abl_anchor_w0.3_s42_e14,3DKM,1238,0.15,bot,185,99,0.5351351351351351,0.1494345718901454,3.5810664718772824
abl_anchor_w0.3_s42_e14,4C26,1159,0.05,top,57,12,0.21052631578947367,0.04918032786885246,4.280701754385965
abl_anchor_w0.3_s42_e14,4C26,1159,0.05,bot,57,40,0.7017543859649122,0.04918032786885246,14.269005847953215
abl_anchor_w0.3_s42_e14,4C26,1159,0.1,top,115,27,0.23478260869565218,0.0992234685073339,2.366200378071834
abl_anchor_w0.3_s42_e14,4C26,1159,0.1,bot,115,86,0.7478260869565218,0.0992234685073339,7.536786389413989
abl_anchor_w0.3_s42_e14,4C26,1159,0.15,top,173,55,0.3179190751445087,0.14926660914581535,2.1298740352166794
abl_anchor_w0.3_s42_e14,4C26,1159,0.15,bot,173,124,0.7167630057803468,0.14926660914581535,4.80189782485215
abl_anchor_w0.3_s42_e14,6EWS,1035,0.05,top,51,20,0.39215686274509803,0.04927536231884058,7.958477508650518
abl_anchor_w0.3_s42_e14,6EWS,1035,0.05,bot,51,22,0.43137254901960786,0.04927536231884058,8.754325259515571
abl_anchor_w0.3_s42_e14,6EWS,1035,0.1,top,103,47,0.4563106796116505,0.09951690821256039,4.585257799981148
abl_anchor_w0.3_s42_e14,6EWS,1035,0.1,bot,103,67,0.6504854368932039,0.09951690821256039,6.53643133188802
abl_anchor_w0.3_s42_e14,6EWS,1035,0.15,top,155,73,0.47096774193548385,0.1497584541062802,3.1448491155046825
abl_anchor_w0.3_s42_e14,6EWS,1035,0.15,bot,155,114,0.7354838709677419,0.1497584541062802,4.911134235171696
abl_anchor_w0.3_s42_e14,6EWT,1024,0.05,top,51,11,0.21568627450980393,0.0498046875,4.330642060745867
abl_anchor_w0.3_s42_e14,6EWT,1024,0.05,bot,51,33,0.6470588235294118,0.0498046875,12.991926182237602
abl_anchor_w0.3_s42_e14,6EWT,1024,0.1,top,102,32,0.3137254901960784,0.099609375,3.1495578623606306
abl_anchor_w0.3_s42_e14,6EWT,1024,0.1,bot,102,71,0.696078431372549,0.099609375,6.988081507112649
abl_anchor_w0.3_s42_e14,6EWT,1024,0.15,top,153,58,0.3790849673202614,0.1494140625,2.5371438335682854
abl_anchor_w0.3_s42_e14,6EWT,1024,0.15,bot,153,110,0.7189542483660131,0.1494140625,4.811824511939852
abl_anchor_w0.3_s42_e14,6EWU,1009,0.05,top,50,25,0.5,0.049554013875123884,10.09
abl_anchor_w0.3_s42_e14,6EWU,1009,0.05,bot,50,31,0.62,0.049554013875123884,12.5116
abl_anchor_w0.3_s42_e14,6EWU,1009,0.1,top,100,56,0.56,0.09910802775024777,5.6504
abl_anchor_w0.3_s42_e14,6EWU,1009,0.1,bot,100,67,0.67,0.09910802775024777,6.760300000000001
abl_anchor_w0.3_s42_e14,6EWU,1009,0.15,top,151,77,0.5099337748344371,0.14965312190287414,3.407438270251305
abl_anchor_w0.3_s42_e14,6EWU,1009,0.15,bot,151,106,0.7019867549668874,0.14965312190287414,4.690759177229069
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.05,top,40,4,0.1,0.04962779156327544,2.015
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.05,bot,40,23,0.575,0.04962779156327544,11.586249999999998
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.1,top,80,21,0.2625,0.09925558312655088,2.6446875
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.1,bot,80,56,0.7,0.09925558312655088,7.052499999999999
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.15,top,120,47,0.39166666666666666,0.1488833746898263,2.6306944444444444
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0746,806,0.15,bot,120,78,0.65,0.1488833746898263,4.365833333333334
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.05,top,39,7,0.1794871794871795,0.04905660377358491,3.6587771203155817
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.05,bot,39,13,0.3333333333333333,0.04905660377358491,6.794871794871794
abl_anchor_w0.3_s42_e14,HEEH_KT_rd6_0793,795,0.1,top,79,17,0.21518987341772153,0.09937106918238994,2.165518346418843
